"%d position's product have been saved.","%s positions de produit ont été sauvegardées."
"Enter 0 for no limit - This parameter can improve performance loading","Entrer 0 pour aucune limitation - Ce paramètre peut améliorer les performances de chargement."
"Display Only Enabled Products","Afficher seulement les produits dont le statut est activé"
"Display Out of Stock Products","Afficher les produits en rupture de stock"
"Image Width","Taille d'image"
"Limit number of products in iframe","Limiter le nombre de produits"
"General","Général"
"None","Aucun"
"Product Type (simple, bundle, etc)","Type de produit (simple, bundle, etc)"
"Save Products Position","Sauvegarder la position des produits"
"Show Attributes","Afficher les attributs produits suivants"
"Sort Products","Trier les produits"
"Sort Category Products","Merchandising produits"
"The position of products has been saved with success.","La position des produits a bien été sauvegardée avec succès."
