"Actions","פעולות"
"Are you sure?","האם אתה בטוח?"
"Date Added","תאריך הוספה"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","עדכון אחרון"
"Mark as Read","סמן כנקרא"
"Mark as read","סמן כנקרא"
"Message","הודעה"
"Message was successfully marked as read","הודעה סומנה כנקראת בהצלחה"
"Message was successfully removed","הודעה הוסרה בהצלחה"
"Messages Inbox","דואר נכנס"
"Notifications","הודעות"
"Please select messages","אנא בחר הודעות"
"Read Details","קרא פרטים"
"Remove","הסר"
"Severity","רמת חומרה"
"Show List","הצג רשימה"
"Show Toolbar","הצג שורת כלים"
"Total of %d record(s) were successfully marked as read","%d רישומים סומנו כנקראו"
"Total of %d record(s) were successfully removed","%d הוסרו בהצלחה"
"Unable to proceed. Please, try again","לא ניתן להמשיך. אנא נסה שנית"
"Update frequency","תדירות עדכון"
"Use HTTPS to get feed","השתמש בפרוטוקול HTTPS לקבלת הזנה"
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
