"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף כלל חדש"
"Apply Rules","הפעל כללים"
"Attribute Set","סט תכונות"
"Catalog","קטלוג"
"Catalog Price Rule","כלל תמחור לקטלוג"
"Catalog Price Rules","כללי תמחור לקטלוג"
"Category","קטגוריה"
"Comments History","היסטוריית הערות"
"Conditions","תנאים"
"Conditions (leave blank for all products)","תנאים (השאר ריק עבור כל המוצרים)"
"Conditions Combination","שילוב תנאים"
"Credit Memos","זיכוים"
"Customer Groups","קבוצות לקוחות"
"Customer is new buyer: %s","הלקוח הוא קונה חדש: %s"
"Customer registered: %s","לקוח נרשם: %s"
"Date Expire","תאריך פג תוקף"
"Date From","מתאריך"
"Date Start","תאריך התחלה"
"Date To","עד תאריך"
"Delete Rule","מחק חוק"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Edit Rule","ערוך כלל"
"Edit Rule '%s'","ערוך כלל '%s'"
"Error while deleting rule. Please review log and try again.","התרחשה שגיאה בעת מחיקת הכלל. אנא בדוק לוג ונסה שנית."
"Error while saving rule data. Please review log and try again.","התרחשה שגיאה במחיקת תוכן הכלל. אנא בדוק לוג ונסה שנית."
"Expire at: %s","פג תוקף ב: %s"
"From Date","מתאריך"
"General Information","מידע כללי"
"Gift Messages","הודעות ברכה"
"ID","ID"
"Inactive","לא פעיל"
"Invoices","חשבוניות"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","כלל חדש"
"No","לא"
"Options","אפשרויות"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","הזמנה - הודעות ברכה"
"Order History","היסטוריית הזמנה"
"Order Invoices","חשבוניות הזמנה"
"Order Shipments","הזמנה - משלוחים"
"Priority","עדיפות"
"Product Attribute","תכונת מוצר"
"Promotions","מבצעים"
"Rule Information","מידע על חוק"
"Rule Name","שם כלל"
"Rule was successfully deleted","הכלל נמחק בהצלחה"
"Rule was successfully saved","הכלל נשמר בהצלחה"
"Rules were successfully applied","הכללים הופעלו בהצלחה"
"Save And Continue Edit","שמור והמשך בעריכה"
"Save Rule","שמור כלל"
"Save and Apply","שמור והחל"
"Shipments","משלוחים"
"Start at: %s","מתחיל ב: %s"
"Status","מצב"
"Stop further rules processing","הפסק הפעלת כללים נוספים"
"The page you are trying to save no longer exists","העמוד שאתה מנסה לשמור לא קיים יותר"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules"
"This rule no longer exists","חוק זה לא קיים יותר"
"To Date","עד לתאריך"
"Unable to apply rules","לא יכול להפעיל כללים"
"Unable to find a page to delete","לא נמצא דף למחיקה"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Websites","אתרים"
"Yes","כן"
