"%s was added to your shopping cart.","פריט '%s' נוסף בהצלחה לסל הקניות."
"%s was updated in your shopping cart.","%s עודכן בסל הקניות שלך."
"* Required Fields","* שדות חובה"
"Add New Address","הוסף כתובת חדשה"
"Add New Condition","הוסף תנאי חדש"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף לרשימת המשאלות שלי"
"Address","כתובת"
"Address %s of %s","כתובת %s מתוך %s"
"After adding a product redirect to shopping cart","אחרי הוספת מוצר, חזור לסל הקניות"
"Allow Guest Checkout","אפשר הזמנה ללא רישום כלקוח"
"Already registered?","הנך לקוח רשום?"
"An error occurred in the process of payment","שגיאה התרחשה בתהליך התשלום"
"Apply Coupon","הפעל קופון"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Back","חזור"
"Back to Billing Information","חזור לפרטי החיוב"
"Back to Select Addresses","חזור לבחירת כתובות"
"Back to Shipping Information","חזור לפרטי המשלוח"
"Back to Shopping Cart","חזור לסל הקניות"
"Based on your selection, you may be interested in the following items:","משתמשים אחרים שרכשו פריט זה, רכשו גם את הפריטים הבאים:"
"Billing Address","כתובת החיוב"
"Billing Information","פרטי החיוב"
"Billing Information - %s","פרטי החיוב - %s"
"Can not add item to shopping cart","לא ניתן להוסיף פריט לסל הקניות"
"Can not apply coupon code.","לא ניתן להפעיל קוד קופון."
"Can\'t open overview page","לא ניתן לפתוח דף תיאור"
"Cancel Coupon","בטל קופון"
"Cannot update shopping cart","לא ניתן לעדכן את סל הקניות"
"Cannot remove item","לא ניתן להסיר פריט"
"Card Verification Number Visual Reference","הדגמה לקוד CVV של כרטיס אשראי"
"Cart Subtotal:","סיכום ביניים של הסל"
"Change","שנה"
"Change Billing Address","שנה כתובת החיוב"
"Checkbox text","טקסט תיבת סימון"
"Checkout","קופה"
"Checkout Conditions","תנאי תשלום"
"Checkout Options","אפשרויות תשלום"
"Checkout Section","מדור תשלום וקופה"
"Checkout Terms and Conditions","תנאי תשלום"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout method","שיטת תשלום"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target=\'_blank\'"">כאן להדפסה</a> של העתק אישור הזמנתך."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target='_blank'"">כאן להדפסה</a> של העתק אישור הזמנתך."
"Click <a href=""%s"">here</a> to continue shopping.","לחץ <a href=""%s"">כאן</a> להמשך הקניות."
"Close","סגור"
"Company","חברה"
"Condition Name","כותרת התנאי"
"Condition was successfully deleted","תנאי נמחק בהצלחה"
"Condition was successfully saved","תנאי נשמר בהצלחה"
"Configurable product image","תמונה למוצר מורכב"
"Confirm Password","אימות סיסמא"
"Content","תוכן"
"Content Height","גובה של תוכן"
"Content Height (css)","גובה של תוכן (css)"
"Continue","המשך"
"Continue Shopping","המשיכו בקניות"
"Continue to Billing Information","המשך להזין פרטי התשלום"
"Continue to Review Your Order","המשך לבחון את הזמנתך"
"Continue to Shipping Information","המשך לפרטי המשלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","קוד הקופון ""%s"" אינו תקף עוד."
"Coupon code ""%s"" was applied successfully.","קוד הקופון  ""%s"" מומש בהצלחה"
"Coupon code was canceled successfully.","קוד הקופון בוטל בהצלחה."
"Create Billing Address","הגדר כתובת החיוב"
"Create Shipping Address","הגדר כתובת למשלוח"
"Customer Address is not valid.","כתובת הלקוח לא תקינה."
"Data saving problem","בעיה בשמירת נתונים"
"Default Billing","חיוב ברירת מחדל"
"Default Shipping","פרטי משלוח כברירת מחדל"
