"* Required Fields","* שדות חובה"
"Comment","הודעה"
"Contact Form","טופס התקשרות"
"Contact Information","פרטי יצירת קשר"
"Contact Us","צור קשר"
"Contacts","אנשי קשר"
"Contacts Section","מדור אנשי קשר"
"Email","דואר אלקטרוני"
"Email Options","אפשרויות דואר אלקטרוני"
"Email Sender","דואר אלקטרוני השולח"
"Email Template","תבנית דואר אלקטרוני"
"Enable Contact Us","הפעל טופס יצירת קשר"
"Name","שם"
"Send Emails To","שלח דואר אלקטרוני ל"
"Submit","שלח"
"Telephone","טלפון"
"Unable to submit your request. Please, try again later","לא יכול לבצע את בקשתך. אנא נסה מאוחר יותר."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","פנייתך נקלטה ותטופל בהקדם. תודה שפניית אלינו."
