"%s","%s"
"%s already exist","%s כבר קיימים"
"%s already exists","%s כבר קיים"
"-- Please Select --","-- בחר מהרשימה --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","מתקדם"
"Allow countries","הרשה ארצות"
"Allowed IPs (comma separated)","כתובות IP מורשות (מופרדות בפסיק)"
"Allows Customers to stay logged in when switching between different Stores.","Allows Customers to stay logged in when switching between different Stores."
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","Alternative text for Next Link in pagination menu. If empty, default arrow image will used"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","Alternative text for Previous link in pagination menu. If empty, default arrow image will used"
"Anchor Text for Next","Anchor Text for Next"
"Anchor Text for Previous","Anchor Text for Previous"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Backup options","אפשרויות גיבוי"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Before modifying the store view code please make sure that it is not used in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Before modifying the website code please make sure that it is not used in index.php"
"Block with name ""%s"" already exists","בלוק בשם ""%s"" כבר קיים"
"Browser Capabilities Detection","Browser Capabilities Detection"
"CSS Settings","הגדרות CSS"
"Cache Storage Management","ניהול אחסון המטמון"
"Cache storage can contain another data. Are you sure that you want flush it?","אחסון המטמון יכול להכיל מידע אחר. האם אתה בטוח שברצונך לרוקן אותו?"
"Can't retrieve request object","לא יכול לקבל אובייקט מבוקש"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","בטל"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Card type doesn\'t match credit card number","Card type doesn\'t match credit card number"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","קוד"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Copyright","זכויות יוצרים"
"Countries options","אפשרויות ארצות"
"Create Store View","צור תצוגת חנות"
"Create Store","צור חנות"
"Create Website","צור אתר"
"Credit card number doesn\'t match credit card type","Credit card number doesn\'t match credit card type"
"Current package name","שם חבילה נוכחית"
"Custom Design","עיצוב בהתאמה אישית"
"Custom Variables","משתנים מותאמים אישית"
"Custom admin URL","Custom admin URL"
"Custom email 1","דואר אלקטרוני מותאם אישית 1"
"Custom email 2","דואר אלקטרוני מותאם אישית 2"
"Customer support","תמיכת לקוחות"
"Database was successfuly backed up.","נסד הנתונים גובה בהצלחה"
"Date From","מתאריך"
"Date To","עד תאריך"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default Description","תיאור ברירת מחדל"
"Default Keywords","מילות מפתח ברירת מחדל"
"Default Pages","עמודי ברירת מחדל"
"Default Robots","Default Robots"
"Default Store View","תצוגת חנות - ברירת מחדל"
"Default Store","חנות - ברירת מחדל"
"Default Title","Default Title"
"Default country","ארץ ברירת מחדל"
"Default no-route url","Default no-route url"
"Default web url","כתובת ברירת מחדל לאתר"
"Delete","מחק"
"Delete Store","מחק חנות"
"Delete Store View","מחק תצוגת חנות"
"Delete Website","מחק אתר"
