"Add New Row","הוסף שורה חדשה"
"An error occurred while saving the file(s).","שגיאה התרחשה בעת שמירת הקובץ."
"Availability:","זמינות:"
"Back","חזור"
"Can\'t connect to remote host, error: %s","לא ניתן להתחבר לשרת מרוחק, שגיאה: %s"
"Canceled","מבוטל"
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","תאריך"
"Default Link Title","ותרת ברירת מחדל של קישור"
"Default Maximum Number of Downloads","כמות מירבית ברירת מחדל של הורדות"
"Default Sample Title","כותרת להדגמה ברירת מחדל"
"Disable Guest Checkout if cart contains downloadable items","בטל רכישה על ידי אורחים ללא הרשמה אם סל קניות מכיל מוצרים ניתנים להורדה"
"Downloadable Information","פרטים על הורדות"
"Downloadable Product","מוצר ניתן להורדה"
"Downloadable Product Options","אפשרויות מוצר הניתן להורדה"
"Downloadable product Section","מדור מוצרים ניתנים להורדה"
"Excl. Tax","לא כולל מע""מ"
"File","קובץ"
"File does not exists","קובץ לא קיים"
"From:","מאת:"
"Gift Message","הודעת ברכה"
"Go to <a href=""%s"">My Downloadable Products</a>","עבור אל <a href=""%s"">הורדות שלי</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"In stock","במלאי"
"Incl. Tax","כולל מע""מ"
"Invalid download URL host","קישור לשרת אחסון קבצים להורדה לא תקין"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","סוג הקישור להורדה לא תקין"
"Invoiced","נשלחה חשבונית"
"Link has expired.","קישור פג תוקף."
"Link is not available.","קישור לא זמין."
"Links can be purchased separately","ניתן לרכוש קישורים בנפרד"
"Max. Downloads","מקסימום הורדות"
"Message:","הודעה:"
"Move to Wishlist","העבר לרשימת המשאלות"
"My Downloadable Products","ההורדות שלי"
"Open Links in New Window","פתח קישורים בחלון חדש"
"Order #","מספר הזמנה"
"Order Item Status to enable Downloads","סטאטוס של פריט הזמנה כדי לאפשר הורדה"
"Ordered","נרכש"
"Out of stock","חסר במלאי"
"Pending","בהמתנה"
"Please log in to download your product.","אנא התחבר כדי להוריד את המוצר שרכשת."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Please specify product link(s)."
"Price","מחיר"
"Qty","כמות"
"Refunded","זוכה"
"Remaining Downloads","יתרת הורדות"
"Remove Item","הסר פריט"
"Requested link doesn't exist.","קישור המבוקש לא קיים."
"Sample","הדגמה"
"Shareable","משותף"
"Shipped","נשלח"
"Sorry, the was an error getting requested content. Please contact store owner.","מצטערים, התרחשה שגיאה בקבלת תוכן המבוקש. אנא צור קשר עם מנהל האתר."
"Sorry, there was an error getting requested content","מצטערים, התרחשה שגיאה בקבלת תוכן המבוקש"
"Sorry, there was an error getting requested content. Please contact store owner.","מצטערים, התרחשה שגיאה בקבלת תוכן המבוקש. אנא צור קשר עם מנהל האתר."
"Sort Order","סדר מיון"
"Start Download","התחל הורדה"
"Status","סטאטוס"
"Title","כותרת"
"To:","אל:"
"U","U"
"Unlimited","ללא הגבלה"
"View Order","הצג הזמנה"
"You have not purchased any downloadable products yet.","לא רכשת עדיין מוצרים להורדה."
"attachment","קובץ מצורף"
"download","הורדה"
"inline","inline"
"sample","הדגמה"
