"--Please Select--","--בחר סוג--"
"<label>Make Check payable to:</label> %s","<label>המחאה לפקודת:</label> %s"
"<label>Make Check payable to</label>: %s","<label>המחאה לפקודת</label>: %s"
"Automatically invoice all items","הפק חשבונית עבור על הפריטים אוטומטית"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","לא ניתן להעלות את אובייקט המידע על התשלום"
"Can not retrieve payment method instance","לא יכול להפעיל את מופע שיטת התשלום"
"Can not retrieve payment method model object.","לא יכול להפעיל את אובייקט שיטת התשלום"
"Card Verification Number","מספר CVV של הכרטיס"
"Check / Money order","תשלום בהמחאה/מזומן"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: %s","מספר כרטיס אשראי: %s"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אימות כרטיס אשראי"
"Enabled","פעיל"
"Expiration Date","בתוקף עד"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Make Check payable to","המחאה לפקודת"
"Make Check payable to: %s","המחאה לפקודת: %s"
"Maximum Order Total","סכום מירבי להזמנה"
"Minimum Order Total","סכום מינימלי להזמנה"
"Month","חודש"
"Name on Card","שם בעל הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"New order status","סטטוס הזמנה חדשה"
"Payment Methods","שיטות תשלום"
"Payment Methods Section","מדור שיטות תשלום"
"Payment from Specific countries","תשלום מארצות ספציפיות"
"Payment from applicable countries","תשלום ממדינות מאושרות"
"Purchase Order Number","מספר הזמנה"
"Purchase Order Number: %s","מספר הזמנה: %s"
"Purchase order","הזמנה"
"Saved CC","כרטיס אשראי ידני"
"Send Check to","שלח המחאה ל"
"Send Check to:","שלח המחאה ל:"
"Sort order","מיון לפי"
"Title","כותרת"
"What is this?","מה זה?"
"Year","שנה"
"Zero Subtotal Checkout","רכישה ללא תשלום"
