"ALL","הכל"
"ANY","כלשהו"
"Add","הוסף"
"Apply","החל"
"Description: %s","תיאור: %s"
"End Date should be greater than Start Date","תאריך הסיום חייב להיות רחוק יותר מתאריך ההתחלה"
"Expire at: %s","בתוקף עד: %s"
"FALSE","לא נכון"
"If %s of these conditions are %s:","עם %s מהתנאים האלה הם %s:"
"Invalid discount amount.","כמות הנחה שגויה."
"MATCHING ALL","תואם הכל"
"MATCHING ANY","תואם כלשהו"
"NOT MATCHING ALL","לא תואם שום דבר"
"NOT MATCHING ANY","לא תואם אחד מהם"
"Name: %s","שם: %s"
"Open Chooser","Open Chooser"
"Perform following actions","בצע פעולות הבאות"
"Please choose a condition to add...","אנא בחר תנאי להוסיף..."
"Please choose an action to add...","אנא בחר פעולה להוסיף"
"Remove","הסר"
"Start at: %s","החל מ: %s"
"TRUE","נכון"
"by","לפי"
"contains","מכיל"
"does not contain","אינו מכיל"
"equals or greater than","שווה או גדול מ"
"equals or less than","שווה או קטן מ"
"greater than","גדול מ"
"is","הוא"
"is not","הוא לא"
"is not one of","אינו אחד מתוך"
"is one of","הינו אחד מתוך"
"less than","קטן מ"
"to","to"
