"Add Recipient","הוסף נמען"
"Allow for Guests","אפשר לאורחים"
"Email Address","דואר אלקטרוני"
"Email Address:","דואר אלקטרוני:"
"Email templates","תבניות דואר אלקטרוני"
"Email to a Friend","שלח לחבר"
"Email:","דואר אלקטרוני:"
"Enabled","פעיל"
"Limit Sending By","Limit Sending By"
"Link to a friend was sent.","הקישור נשלח לחבר"
"Max Products Sent in 1 Hour","מספר מוצרים מקסימלי שנשלח בשעה אחת"
"Max Recipients","מספר מירבי של נמענים"
"Maximum %d email addresses allowed.","מקסימום %d כתובות דואר אלקטרוני מורשות."
"Message:","הודעה:"
"Name","שם"
"Name:","שם:"
"Recipient:","הנמען:"
"Remove Email","הסר דואר אלקטרוני"
"Select email template","בחר תבנית דואר אלקטרוני"
"Send email","שלח דואר אלקטרוני"
"Send product to a friend","שלח מוצר לחבר"
"Sender:","השולח:"
"Some emails was not sent","חלק מההודעות לא נשלחו"
"Some problems with data.","ישנן בעיות עם נתונים."
"You cannot email this product to a friend","לא ניתן לשלוח קישור למוצר זה לחבר"
"You cannot send more than %d times in an hour","לא ניתן לשלוח קישור יותר מ-%d פעמים בשעה"
