"# of Uses","מס' שימושים"
"%s tag(s) have been accepted for moderation","%s תגיות התקבלו ויתפרסמו לאחר בדיקת מנהל האתר"
"<strong>Tag Name:</strong> %s","<strong>תגית:</strong> %s"
"Action","פעולה"
"Add New Tag","הוסף תגית חדשה"
"Add Tags","הוסף תגיות"
"Add Your Tags:","הוסף תגיות שלך:"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף לרשימת המשאלות"
"All Tags","כל התגיות"
"Approved","מאושר"
"Are you sure you want to delete this tag?","אתה בטוח שברצונך למחוק תג זה?"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Back to Tags List","חזור לרשימת התגיות"
"Base Popularity","פופולאריות בסיסית"
"Block Information","בלוק - מידע"
"CSV","CSV"
"Change status","שנה סטאטוס"
"Click on a tag to view your corresponding products.","לחץ על תגית כדי לראות המוצרים הקשורים שלך"
"Country","ארץ"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","לקוח מתאריך"
"Customers","לקוחות"
"Customers Submitted this Tag","לקוחות אשר שלחו תגית זו"
"Customers Tagged '%s'","לקוחות סימנו עם תגית '%s'"
"Delete","מחק"
"Delete Tag","מחק תגית"
"Disabled","לא פעיל"
"Edit Tag '%s'","ערוך תגית '%s'"
"Email","דואר אלקטרוני"
"First Name","שם פרטי"
"General Information","מידע כללי"
"Grid","טבלה"
"ID","ID"
"Last Name","שם משפחה"
"List","רשימה"
"Manage Tags","נהל תגיות"
"My Recent Tags","תגיות אחרונות שלי"
"My Tags","התגיות שלי"
"Name","שם"
"New Tag","תגית חדשה"
"No matches found.","לא נמצאו התאמות."
"Other people marked this product with these tags:","גולשים אחרים תייגו את המוצר הזה עם תגיות הבאות:"
"Pending","בהמתנה"
"Pending Tags","תגיות ממתינות לאישור"
"Popular","פופלורי"
"Popular Tags","תגיות פופולאריות"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם המוצר"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות המוצר"
"Products","מוצרים"
"Products Tagged by Administrators","מוצרים אשר תויגו על ידי מנהלים"
"Products Tagged by Customers","מוצרים אשר תויגו על יד גולשים"
"Products tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Products Tagged with '%s'","מוצרים מתוייגים עם '%s'"
"SKU","מק""ט"
"Save And Continue Edit","שמור והמשך בעריכה"
"Save Tag","שמור תגית"
"Search Terms","תנאי חיפוש"
"Status","סטאטוס"
"Tag","תגית"
"Tag ""%s"" has already been added to the product.","תגית ""%s"" כבר נוספה למוצר זה"
"Tag ""%s"" has been added to the product.","תגית ""%s"" נוספה למוצר"
"Tag Name","שם התגית"
"Tagged Products List","רשימת מוצרים מתויגים"
"Tags","תגיות"
"Tags Aren't Available","תגיות לא זמינות"
"Tags List (All Available)","רשימת התגיות (הכל)"
"Tags:","תגיות:"
"Telephone","טלפון"
"Unable to find any products tagged with '%s' in the current store","לא מצליח למצוא אף מוצר המתויג עם '%s' בחנות הנוכחית"
"Unable to remove tag. Please, try again later.","לא מצליח להסיר תגית. אנא נסה מאוחר יותר."
"Unable to save tag(s)","לא מצליח לשמור את התגית שלך"
"Use spaces to separate tags. Use single quotes (') for phrases.","השתמש ברווחים על מנת להפריד בין התגיות. השתמש בגרשיים בודדות (') לביטוים."
"Uses","שימושים"
"View All Tags","הצג כל התגיות"
"View Customers","הצג לקוחות"
"View Products","הצג מוצרים"
"Visible In","גלוי ב"
"XML","XML"
"You have not tagged any products yet.","לא תייגת אף מוצר עדיין."
"You tag was successfully deleted","התגית שלך נמחקה בהצלחה"
"ZIP/Post Code","מיקוד"
