"All Websites","כל האתרים"
"Apply Percent Discounts To FPT","Apply Percent Discounts To FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","הצג מחיקים בהודעות דואר"
"Display Prices In Product Lists","הצג מחירים ברשימות מוצרים"
"Display Prices In Sales Modules","הצג מחירים במודולי מכירות"
"Display Prices On Product View Page","הצג מחירים בדף מוצר"
"Enable FPT","Enable FPT"
"Excluding FPT","Excluding FPT"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"Fixed Product Tax","Fixed Product Tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Include FPT In Subtotal","Include FPT In Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Including FPT and FPT description [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Including FPT and FPT description [incl. FPT VAT]"
"Including FPT only","Including FPT only"
"Total","סה""כ"
"Total incl. tax","סה""כ כולל מע""מ"
