"#Sales/#Orders","#מכירות/#הזמנות"
"%s %s for each sale you deliver","%s %s לכל מכירה שמגיעה דרכך"
"%s %s for the first order of a customer, %s for next orders","%s %s להזמנה הראשונה של לקוח, %s להזמנות הבאות"
"%s - Minimum balance required for payout.","%s - יתרה מינימלית לבקשת תשלום."
"%s for next orders","%s להזמנות הבאות"
"%s for the first order of a customer","%s להזמנה הראשונה של הלקוח"
"%s of sales amount","%s מכמות המכירות"
"%s on the first order, %s of next orders","%s להזמנה הראשונה, %s להזמנות הבאות"
"%s per sale","%s פר מכירה"
"%sx%s","%sx%s"
"-- Please Select --","-- אנא בחר --"
"1. Log in to your email and get your authentication code.","1. כנס למייל שלך כדי לקבל קוד אימות."
"10px","10px"
"2. Put authentication code into the blank below.","2. הזן את קוד האימות בחלק הריק למטה."
"3. Click on Verify button.","3. לחץ על כפתור אמת."
"Allow affiliates to use commission to check out at your store","אפשר לשותפים להשתמש בעמלה לתשלום בחנות שלך"
"Customer first buys through affiliate A's link, though later clicks affiliate B's link and buys, this transaction will still be counted for affiliate A.","לקוח קונה בחנות דרך שותף א, לאחר מכן אותו לקוח נכנס לחנות דרך שותף אחר ב' ומבצע הזמנה, ההזמנה תשוייך בכל זאת לשותף א' שהביא את הלקוח ראשון."
"ADDITIONAL SALES COMMISSIONS","תוספת עמלת מכירות"
"ASC","ASC"
"Account Balance","יתרת חשבון"
"Account Balance Scope","Account Balance Scope"
"Account Configuration","תצורת חשבון"
"Account Email","מייל חשבון"
"Account Information","פרטי חשבון"
"Account Manager","מנהל חשבון"
"New Account","חשבון חדש"
"Account Settings","הגדרות חשבון"
"This account does not exist.","החשבון הזה אינו קיים."
"Account not enough balance to cancel","בחשבון אין מספיק יתרה כדי לבטלו"
"The account has been deleted successfully.","החשבון בוטל בהצלחה."
"The account has been updated successfully.","החשבון עודכן בהצלחה."
"Accounts Manager","מנהל חשבון"
"Action","פעולות"
"Add Account","הוסף חשבון"
"Add Banner","הוסף באנר"
"Add Level","הוסף רמה"
"Add Withdrawal","הוסף העברת תשלום"
"Add Withdrawal for ","הוסף העברת תשלום עבור "
"Add commission to affiliate account balance when order status is","הוסף עמלה ליתרת חשבון שותף כאשר הסטטוס הוא"
"Add payout","הוסף תשלום"
"Additional Commission","עמלה נוספת"
"Additional Commission Percentage","אחוז עמלה נוספת"
"Additional commissions received","עמלות נוספות שהתקבלו"
"Address","כתובת"
"Address Information","פרטי כתובת"
"Affiliate","שותף"
"Affiliate Account","חשבון שותף"
"Affiliate Account Information","פרטי חשבון שותף"
"Affiliate Credit","קרדיט שותף"
"Affiliate Discount","הנחת שותף"
"Affiliate Email","מייל שותף"
"Affiliate Home","בית שותף"
"Affiliate Link","לינק שותף"
"Affiliate Login","התחברות שותף"
"Affiliate Name","שם שותף"
"Affiliate Plus","תוכנית שותפים"
"Affiliate Program","תוכנית שותפים"
"Affiliate Store Credit","קרדיט חנות לשותף"
"Affiliate login","התחברות שותף"
"Affiliateplus","תוכנית שותפים"
"Affiliates","שותפים"
"After this time, a new click/view from each IP will be counted as an unique click/view.","אחרי הפעם הזאת, לחיצה/צפיה חדשה מכל איי פי יחשב כלחיצה/צפיה ייחודית."
"All","הכל"
"All time","כל הזמנים"
"Allow Everything","אפשר הכל"
"Allow affiliates to cancel withdrawal request within","אפשר לשותף לבטל בקשת תשלום במסגרת זמן של"
"Allow withdrawal request","אפשר בקשת תשלום"
"Amount","כמות"
"Amount To Transfer","כמות להעברה"
"An authentication code has been sent to you. Please take the following steps to verify your email address.","נשלח אליך קוד אימות, אנא פעל לפי ההוראות הבאות לאימות כתובת המייל שלך."
"Apply","החל"
"Approved","אושר"
"Are you sure you want to pay out for this account?","האם אתה בטוח שאתה רוצה תשלום עבור חשבון זה?"
"Are you sure of paying out for this withdrawal?","Are you sure of paying out for this withdrawal?"
"Are you sure?","האם אתה בטוח?"
"Associate to Website","שייך לאתר"
"Authentication Code","קוד אימות"
"Automatic Payout for Affiliate through Paygate","תשלום אוטומטי לשותף דרך Paygate"
"Automatically pay out for Affiliate through the paygate","בצע תשלום אוטומטי לשותפים דרך Paygate"
"Applied when transaction is canceled or completed","החל כאשר העסקה בוטלה או הושלמה"
"Back","חזרה"
"Back to Edit","חזרה לעריכה"
"Balance","יתרה"
"Balance: %s","יתרה: %s"
"Banner Information","פרטי באנר"
"Banner Manager","ניהול באנרים"
"New Banner","הוספת באנר חדש"
"Banner Type","סוג באנר"
"Banner View","תצוגת באנר"
"Banner does not exist","באנר לא קיים"
"Banner information","תיאור באנר"
"The banner has been deleted successfully.","הבאנר נמחק בהצלחה."
"The banner has been saved successfully.","הבאנר נשמר בהצלחה."
"Banners","באנרים"
"Banner Manager","ניהול באנרים"
"Both Affiliate program Discount and Shopping cart Discount","גם הנחת תוכנית שותפים וגם הנחת סל קניה"
"CSV","CSV"
"Cancel","בטל"
"Cancel Withdrawal","בטל העברה"
"Cancel Withdrawals","בטל כל ההעברות"
"Canceled","בוטל"
"Cannot find any payment method to configure","לא נמצאו שיטות תשלום מוגדרות"
"Captcha code","קוד קאפצ'ה"
"Change Password","שנה סיסמה"
"Change status","שנה סטטוס"
"Checking email address","בודק כותבת מייל"
"City","עיר"
"Click/View Fraud Detection Configuration","הגדרות הונאה קליק/צפיה"
"Clicks","קליקים"
"Commission","עמלה"
"Commission Configuration","הגדרות עמלה"
"Commission Type","סוג עמלה"
"Commission Type (from 2nd order)","סוג עמלה (מההזמנה השניה ומעלה)"
"Commission Value","גובה עמלה"
"Commission Value (from 2nd order)","גובה עמלה (מההזמנה השניה ומעלה)"
"Commission type","סוג עמלה"
"Commissions","עמלות"
"Commission Paid","עמלה שולמה"
"Complete Manually","השלם ידנית"
"Complete Withdrawal","השלם העברה"
"Completed","הושלם"
"Complete","Complete"
"Confirm","אשר"
"Confirm New Password","אשר סיסמא חדשה"
"Confirm Password","אמת סיסמא"
"Cookie Expiration (Days)","תפוגת עוגיה (ימים) Cookie Expiration"
"Copy and paste this source code into your website or forum.","העתק והדבק את הקוד הזה לתוך האתר שלך או לפורום."
"Country","מדינה"
"Select Welcome page of your Affiliate system","בחר עמוד ברוכים הבאים לתוכנית שותפים שלך"
"Create Withdrawal","צור העברת תשלום"
"Create Your Account","צור את החשבון שלך"
"Create and complete Withdrawal","צור והשלם העברת תשלום"
"Current Balance","יתרה נוכחית"
"Current Password","סיסמא נוכחית"
"Custom Url","כתובת URL מותאמת אישית"
"Customer","לקוח"
"Customer Email","מייל לקוח"
"Customer Email Address","כתובת מייל של הלקוח"
"Order ID","מס הזמנה"
"Order Status","סטטוס הזמנה"
"Order Subtotal","סך ביניים של ההזמנה"
"Customer Since","לקוח מ"
"DESC","DESC"
