"-- Please Select --","-- אנא בחר --"
"10px","10px"
"Tier Commission Value & Type (from 2nd order)","סוג ועמלת רכישה כמותית (מההזמנה השניה ואילך)"
"Tier Commission Value & Type","סוג ועמלת רכישה כמותית"
"ASC","ASC"
"Add Item","Add Item"
"Add upper tier affiliate","Add upper tier affiliate"
"Affiliate Plus","תוכנית שותפים"
"Affiliate Plus Module","מודול תוכנית שותפים"
"Affiliates","שותפים"
"Allow Everything","אפשר הכל"
"Amount","כמות"
"Approved","מאושר"
"Balance","יתרה"
"Percentage of Subtotal","אחוז מסך הכל"
"Canceled","בוטל"
"Change","שנה"
"Change upper tier affiliate","Change upper tier affiliate"
"Close","סגור"
"Commission","עמלה"
"Commissions","עמלות"
"Complete","Complete"
"Completed","הושלם"
"DESC","DESC"
"Date","תאריך"
"Disabled","לא פעיל"
"Email","מייל"
"Email template sent to tier affiliate when a transaction is changed","Email template sent to tier affiliate when a transaction is changed"
"Email template sent to tier affiliate when transaction status is changed","Email template sent to tier affiliate when transaction status is changed"
"Email template sent to tier affiliate when a transaction is created","Email template sent to tier affiliate when a transaction is created"
"Email template sent to tier affiliate when commission is reduced","Email template sent to tier affiliate when commission is reduced"
"Enabled","פעיל"
"Fixed","קבוע"
"Fixed Amount","כמות קבועה"
"From Date","מתאריך"
"ID","מזהה ID"
"Item Manager","Item Manager"
"Joined time","תאריך הצטרפות"
"Level","רמה"
"Level %d","רמה %d"
"Tier Commission Configuration","עמלה על רכישה כמותית"
"N/A","N/A"
"Name","שם"
"No.","מספר"
"Number of Tiers","Number of Tiers"
"Number of Tiers to Enable","Number of Tiers to Enable"
"On Hold","מושהה"
"Pending","בהמתנה"
"Percent","אחוזין"
"Products","מוצרים"
"Reset","שחזר"
"STORE VIEW","STORE VIEW"
"Search","חיפוש"
"Select ","בחר "
"Select "No" to apply the above commission to all orders","בחר "לא" כדי לאשר את העמלה הנ"ל לכל ההזמנות"
"Select upper tier affiliate","Select upper tier affiliate"
"Send email to tier affiliate when transaction status is changed","Send email to tier affiliate when transaction status is changed"
"Send email to tier affiliate when a transaction is created","Send email to tier affiliate when a transaction is created"
"Standard Commissions","עמלה רגילה"
"Standard Earnings: ","רווחים רגילים: "
"Standard Transactions: ","עסקאות רגילות: "
"Status","סטטוס"
"There are no commission matching this selection.","אין עמלה שתואמת את הבחירה שלך."
"There are no tier affiliates matching this selection.","There are no tier affiliates matching this selection."
"Tier Affiliates","Tier Affiliates"
"Tier Commission","Tier Commission"
"Tier Commission Email","Tier Commission Email"
"Tier Commissions","Tier Commissions"
"Tier Earnings","Tier Earnings"
"Tier Earnings: ","Tier Earnings: "
"Tier Level %d","Tier Level %d"
"Tier Transactions","Tier Transactions"
"Tier Transactions: ","Tier Transactions: "
"Tier affiliates","Tier affiliates"
"To Date","עד תאריך"
"Total","סה"כ"
"Total Amount","סה"כ כמות"
"Total Commission","סה"כ עמלות"
"Total Earnings: ","סה"כ רווחים: "
"Total Paid","סה"כ שולם"
"Total Transactions: ","סה"כ עסקאות: "
"Upper Tier","Upper Tier"
"Upper tier","Upper tier"
"Use Default","השתמש בברירת מחדל"
"Use when transaction is canceled, completed or reduced commission","השתמש שהעסקה בוטלה, הושלמה או בהורדת עמלה"
"Use General Configuration","השתמש בהגדרות כלליות"
"Use different commission from 2nd order of a Customer","השתמש בעמלה אחרת מההזמנה השניה ומעלה של אותו לקוח"
"Value/Type","ערך/סוג"
"View Account Detail","הצג פרטי חשבון"
"of sales amount","מתוך כמות מכירות"
"per sale","למכירה"
