"%s","%s"
"API Password","API Password"
"API Signature","API Signature"
"API Username","API Username"
"API/MQI Password","API/MQI Password"
"Acc Number: %s","Acc Number: %s"
"Account Information","פרטי חשבון"
"Account Settings","הגדרות חשבון"
"Account: %s","חשבון: %s"
"Active","פעיל"
"Address","כתובת"
"Admin Email","כתובת אדמין"
"Admin Message","הודעת אדמין"
"Affiliate Plus Payment Method","שיטת תשלום"
"Allow Everything","אפשר הכל"
"Amount","כמות"
"Auto complete Withdrawal","השלם אוטומטית את ההעברה"
"Back","חזרה"
"Bank Account","חשבון בנק"
"Bank Address: %s","חשבון בנק: %s"
"Bank SWIFT code","Bank SWIFT code"
"Bank Statement","Bank Statement"
"Bank Transfer Payment","העברה בנקאית"
"Bank Transfer Payment Method","שיטת תשלום העברה בנקאית"
"Bank account name","שם חשבון בנק"
"Bank account name is empty.","שם חשבון בנק ריק."
"Bank account number","מספר חשבון בנק"
"Bank account number is empty.","מספר חשבון בנק ריק."
"Bank address","כתבות הבנק"
"Bank name","שם הבנק"
"Bank name is empty.","שם הבנק ריק."
"Bank routing code","Bank routing code"
"Bank: %s","בנק: %s"
"Can not connect to Moneybooker server at this time","לא מצליח להתחבר ל Moneybooker בשלב זה"
"Cancel","ביטול"
"Canceled","בוטל"
"Change Password","שינוי סיסמה"
"City","עיר"
"Completed","הושלם"
"Complete","השלם"
"Confirm","אשר"
"Confirm New Password","אמת סיסמה חדשה"
"Confirm Request","אמת בקשה"
"Content of notification email","תוכן של עדכון במייל"
"Country","מדינה"
"Current Password","סיסמה נוכחית"
"Custom Period","תקופה מותאמת אישית"
"Custom payout days","ימי תשלום מותאמים אישית"
"Email","מייל"
"Email template sent to Admins","תבנית מייל נשלחה לאדמין"
"Email template sent to Affiliate","תבנית מייל נשלחה לשותף"
"Email template sent to admin when withdrawal by recurring","מייל נשלח לאדמין על ביצוע ההעברה"
"Email template sent to affiliate when withdrawal by recurring","מייל נשלח לשותף על ביצוע ההעברה"
"Email: ","מייל: "
"Enable Recurring Payment","אפשר תשלומים חוזרים"
"Fax","פקס"
"Fee","עמלה"
"Fee Value","גובה העמלה"
"Fee: ","עמלה: "
"First Name","שם פרטי"
"Invoice Address","כתובת חשבונית"
"Invoice Number","מספר חשבונית"
"Is Recurring","מחזורי"
"Is Recurring Payment","תשלום חוזר"
"Label","תווית"
"Last Name","שם משפחה"
"Maximum accounts","מקסימום חשבונות"
"Maximum accounts can receive payout per cron. Put 0 for unlimited accounts.","Maximum accounts can receive payout per cron. Put 0 for unlimited accounts."
"Message","הודעה"
"Method: ","שיטה: "
"The minimum balance required to request withdrawal is %s","היתרה המינימלית לבקשת תשלום הינה %s"
"Moneybooker","Moneybooker"
"Moneybooker Email","Moneybooker Email"
"Moneybooker Payment","Moneybooker Payment"
"Moneybooker Payment Method","Moneybooker Payment Method"
"Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified","Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified"
"Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration","Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration"
"Moneybooker: Email address and/or password were not provided","Moneybooker: Email address and/or password were not provided"
"Moneybooker: Sending amount exceeds account balance.","Moneybooker: Sending amount exceeds account balance."
"Moneybooker: This account is currently locked.","Moneybooker: This account is currently locked."
